ID,TARGET_DATE,TARGET
529,2021-08-31,0.6
901,2021-08-31,0.6
1103,2021-08-31,0.6
1246,2021-08-31,0.6
1622,2021-08-31,0.5
1628,2021-08-31,0.6
1641,2021-08-31,0.6
1674,2021-08-31,0.6
1687,2021-08-31,0.5
1943,2021-08-31,0.5
2073,2021-08-31,0.6
2232,2021-08-31,0.6
2395,2021-08-31,0.6
2449,2021-08-31,0.5
2622,2021-08-31,0.6
2643,2021-08-31,0.6
2811,2021-08-31,0.6
2882,2021-08-31,0.6
3150,2021-08-31,0.8
3202,2021-08-31,0.8
3275,2021-08-31,0.6
3390,2021-08-31,0.6
3732,2021-08-31,0.7
3837,2021-08-31,0.6
4508,2021-08-31,0.6
4894,2021-08-31,0.5
4953,2021-08-31,0.6
5027,2021-08-31,0.5
5276,2021-08-31,0.7
5429,2021-08-31,0.6
5496,2021-08-31,0.5
5555,2021-08-31,0.5
5769,2021-08-31,0.6
6228,2021-08-31,0.5
6683,2021-08-31,0.6
7145,2021-08-31,0.7
7586,2021-08-31,0.6
7708,2021-08-31,0.6
7819,2021-08-31,0.6
7996,2021-08-31,0.9
8052,2021-08-31,0.6
8132,2021-08-31,0.6
8137,2021-08-31,0.6
8233,2021-08-31,0.6
8262,2021-08-31,0.7
8263,2021-08-31,0.7
8399,2021-08-31,0.5
8537,2021-08-31,0.5
8619,2021-08-31,0.6
9160,2021-08-31,0.7
9290,2021-08-31,0.6
9397,2021-08-31,0.6
9467,2021-08-31,0.4
9577,2021-08-31,0.7
9621,2021-08-31,0.6
10040,2021-08-31,0.5
10095,2021-08-31,0.6
10368,2021-08-31,0.6
10598,2021-08-31,0.6
10851,2021-08-31,0.5
11248,2021-08-31,0.6
11341,2021-08-31,0.6
11391,2021-08-31,0.6
11604,2021-08-31,0.6
12028,2021-08-31,0.6
12064,2021-08-31,0.5
12175,2021-08-31,0.5
12652,2021-08-31,0.6
12706,2021-08-31,0.6
12920,2021-08-31,0.7
13279,2021-08-31,0.6
13302,2021-08-31,0.6
13441,2021-08-31,0.7
13662,2021-08-31,0.5
13682,2021-08-31,0.9
14054,2021-08-31,0.5
14069,2021-08-31,0.6
14245,2021-08-31,0.6
14407,2021-08-31,0.5
14413,2021-08-31,0.5
14600,2021-08-31,0.6
14754,2021-08-31,0.6
15197,2021-08-31,0.6
15286,2021-08-31,0.6
15573,2021-08-31,0.6
15741,2021-08-31,0.5
16285,2021-08-31,0.6
16295,2021-08-31,0.5
16538,2021-08-31,0.5
16576,2021-08-31,0.5
16637,2021-08-31,0.7
17280,2021-08-31,0.7
17400,2021-08-31,0.5
17521,2021-08-31,0.6
17562,2021-08-31,0.6
17821,2021-08-31,0.6
17966,2021-08-31,0.5
18322,2021-08-31,0.5
18409,2021-08-31,0.5
18448,2021-08-31,0.6
18575,2021-08-31,0.7
18669,2021-08-31,0.6
